Controller,Status,Success,Touchdown_x_m,Delta_x_m,Touchdown_sink_mps,Touchdown_speed_mps,Touchdown_pitch_deg,RMS_GlideError_m,RMS_Airspeed_mps,Control_Effort,Control_Smoothness
PID,ACCEPTABLE_TOUCHDOWN,1,287.090150762166,-12.9098492378336,1.51303287291099,34.0969213646967,6.24619140849385,0.332628995047848,0.909061514789702,1.72050744502037,0.00915537074261255
TD3,MISSED_APPROACH_OVERSHOOT,0,1099.96267389209,799.962673892091,1.40166278739046,43.2583174636321,2.12969661935474,39.7692171100573,16.301372581481,13.6624786609843,44414.2243229552
SAC,NOSE_GEAR_COLLAPSE,0,423.785757851347,123.785757851347,6.30267499962107,61.8337910940872,-4.7568812470492,27.580718897747,8.4221608610069,16.3045983216315,6853.312065218
